"TIME","AIRLINE","FLIGHT_NUMBER","TRANSACTION","TERMINAL","GATE","REMARK","data_as_of","data_loaded_at"
"2026/02/27 03:21:00 PM","Air India","AI179","ARR","I","A8","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/21 11:43:00 AM","KLM","KL605","ARR","I","A1","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/17 10:55:00 PM","United","UA1870","DEP","3","E6","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/25 07:36:00 AM","United","UA1788","DEP","3","F5","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/21 03:24:00 PM","United","UA5560","ARR","3","F5","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/21 09:28:00 AM","United","UA2115","ARR","3","F22","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/16 08:25:00 AM","United","UA5313","ARR","3","E12","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/26 03:38:00 PM","United","UA4655","ARR","3","E2","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/16 02:23:00 PM","Alaska","AS655","ARR","1","B8","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/18 04:48:00 PM","United","UA5703","DEP","3","E3","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/28 08:27:00 AM","United","UA858","ARR","I","G2","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/19 04:11:00 PM","United","UA2154","ARR","3","F16","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/17 07:40:00 AM","American","AA1746","DEP","1","B19","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/21 04:31:00 PM","United","UA1799","ARR","3","E4","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/23 11:03:00 AM","United","UA2177","DEP","3","F15","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/24 10:51:00 AM","Southwest","WN4800","ARR","2","D7","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/17 12:36:00 PM","Korean Air","KE24","DEP","I","A11","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
